ID,EID,Original_Sentence,Modal_Verb,Marked_Sentence_English,Marked_Sentence_Japanese,Source_Modal,Tested_Modal,Transformation_Strategy,Transformation_Category,Palmer_Annotations,Quirk_Annotations,Palmer_Expected,Quirk_Expected,Grammaticality_Expected,Completed,Annotation_Notes
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_alt_should,ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08,So you can ride in style for free. Sounds fair to me.. until you get yours!:),should,So you *should* ride in style for free. Sounds fair to me.. until you get yours!:),"",can,should,ability_to_advice_substitution,substitution,"[""dynamic"", ""dynamic"", ""dynamic""]","[""ability"", ""ability"", ""ability""]",unknown,unknown,yes,0,Modal substitution: 'can' → 'should'. Strategy: ability_to_advice_substitution. Please verify grammaticality and classify modal categories.
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_alt_will,ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08,So you can ride in style for free. Sounds fair to me.. until you get yours!:),will,So you *will* ride in style for free. Sounds fair to me.. until you get yours!:),"",can,will,ability_to_prediction_substitution,substitution,"[""dynamic"", ""dynamic"", ""dynamic""]","[""ability"", ""ability"", ""ability""]",unknown,unknown,yes,0,Modal substitution: 'can' → 'will'. Strategy: ability_to_prediction_substitution. Please verify grammaticality and classify modal categories.
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_alt_would,ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08,So you can ride in style for free. Sounds fair to me.. until you get yours!:),would,So you *would* ride in style for free. Sounds fair to me.. until you get yours!:),"",can,would,ability_to_conditional_substitution,substitution,"[""dynamic"", ""dynamic"", ""dynamic""]","[""ability"", ""ability"", ""ability""]",unknown,unknown,yes,0,Modal substitution: 'can' → 'would'. Strategy: ability_to_conditional_substitution. Please verify grammaticality and classify modal categories.
ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08_alt_ought_to,ca4b1315c6993858520a1be19a836afa6778a727297b3ada272967b931b04a08,So you can ride in style for free. Sounds fair to me.. until you get yours!:),ought to,So you *ought to* ride in style for free. Sounds fair to me.. until you get yours!:),"",can,ought to,ability_to_advice_substitution,substitution,"[""dynamic"", ""dynamic"", ""dynamic""]","[""ability"", ""ability"", ""ability""]",unknown,unknown,yes,0,Modal substitution: 'can' → 'ought to'. Strategy: ability_to_advice_substitution. Please verify grammaticality and classify modal categories.
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_orig,bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it.   I am trying to move to another area.",might,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *might* buy it.   I am trying to move to another area.","",might,might,original,original,"[""dynamic"", ""dynamic"", ""dynamic""]","[""possibility"", ""possibility"", ""possibility""]",dynamic,possibility,yes,1,Original sentence from dataset. Modal: 'might'. Verified and complete.
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_alt_can,bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it.   I am trying to move to another area.",can,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *can* buy it.   I am trying to move to another area.","",might,can,possibility_to_impossibility,entailment,"[""dynamic"", ""dynamic"", ""dynamic""]","[""possibility"", ""possibility"", ""possibility""]",unknown,unknown,yes,0,Modal substitution: 'might' → 'can'. Strategy: possibility_to_impossibility. Please verify grammaticality and classify modal categories.
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_alt_could,bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it.   I am trying to move to another area.",could,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *could* buy it.   I am trying to move to another area.","",might,could,possibility_to_ability_substitution,substitution,"[""dynamic"", ""dynamic"", ""dynamic""]","[""possibility"", ""possibility"", ""possibility""]",unknown,unknown,yes,0,Modal substitution: 'might' → 'could'. Strategy: possibility_to_ability_substitution. Please verify grammaticality and classify modal categories.
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_alt_may,bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it.   I am trying to move to another area.",may,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *may* buy it.   I am trying to move to another area.","",might,may,possibility_to_permission_substitution,substitution,"[""dynamic"", ""dynamic"", ""dynamic""]","[""possibility"", ""possibility"", ""possibility""]",unknown,unknown,yes,0,Modal substitution: 'might' → 'may'. Strategy: possibility_to_permission_substitution. Please verify grammaticality and classify modal categories.
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_alt_must,bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it.   I am trying to move to another area.",must,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *must* buy it.   I am trying to move to another area.","",might,must,possibility_to_necessity,entailment,"[""dynamic"", ""dynamic"", ""dynamic""]","[""possibility"", ""possibility"", ""possibility""]",unknown,unknown,yes,0,Modal substitution: 'might' → 'must'. Strategy: possibility_to_necessity. Please verify grammaticality and classify modal categories.
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_alt_shall,bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it.   I am trying to move to another area.",shall,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *shall* buy it.   I am trying to move to another area.","",might,shall,possibility_to_obligation_substitution,substitution,"[""dynamic"", ""dynamic"", ""dynamic""]","[""possibility"", ""possibility"", ""possibility""]",unknown,unknown,yes,0,Modal substitution: 'might' → 'shall'. Strategy: possibility_to_obligation_substitution. Please verify grammaticality and classify modal categories.
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_alt_should,bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it.   I am trying to move to another area.",should,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *should* buy it.   I am trying to move to another area.","",might,should,possibility_to_advice_substitution,substitution,"[""dynamic"", ""dynamic"", ""dynamic""]","[""possibility"", ""possibility"", ""possibility""]",unknown,unknown,yes,0,Modal substitution: 'might' → 'should'. Strategy: possibility_to_advice_substitution. Please verify grammaticality and classify modal categories.
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_alt_will,bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it.   I am trying to move to another area.",will,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *will* buy it.   I am trying to move to another area.","",might,will,possibility_to_prediction,entailment,"[""dynamic"", ""dynamic"", ""dynamic""]","[""possibility"", ""possibility"", ""possibility""]",unknown,unknown,yes,0,Modal substitution: 'might' → 'will'. Strategy: possibility_to_prediction. Please verify grammaticality and classify modal categories.
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_alt_would,bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it.   I am trying to move to another area.",would,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *would* buy it.   I am trying to move to another area.","",might,would,possibility_to_conditional_substitution,substitution,"[""dynamic"", ""dynamic"", ""dynamic""]","[""possibility"", ""possibility"", ""possibility""]",unknown,unknown,yes,0,Modal substitution: 'might' → 'would'. Strategy: possibility_to_conditional_substitution. Please verify grammaticality and classify modal categories.
bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6_alt_ought_to,bb15d475ab26eb196fe75fc0bde91c6a127e5933223261c7124c79767e011ca6,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who might buy it.   I am trying to move to another area.",ought to,"I am trying to sell my house. It is been on the market for a year now, but I think I found someone who *ought to* buy it.   I am trying to move to another area.","",might,ought to,possibility_to_advice_substitution,substitution,"[""dynamic"", ""dynamic"", ""dynamic""]","[""possibility"", ""possibility"", ""possibility""]",unknown,unknown,yes,0,Modal substitution: 'might' → 'ought to'. Strategy: possibility_to_advice_substitution. Please verify grammaticality and classify modal categories.
5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3_orig,5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3,I get it.. but you know life really is too short.. i think you should try to reach out! Do it!:),should,I get it.. but you know life really is too short.. i think you *should* try to reach out! Do it!:),"",should,should,original,original,"[""deontic"", ""deontic"", ""deontic""]","[""obligation"", ""obligation"", ""obligation""]",deontic,obligation,yes,1,Original sentence from dataset. Modal: 'should'. Verified and complete.
5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3_alt_can,5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3,I get it.. but you know life really is too short.. i think you should try to reach out! Do it!:),can,I get it.. but you know life really is too short.. i think you *can* try to reach out! Do it!:),"",should,can,advice_to_possibility,entailment,"[""deontic"", ""deontic"", ""deontic""]","[""obligation"", ""obligation"", ""obligation""]",unknown,unknown,partial,0,Modal substitution: 'should' → 'can'. Strategy: advice_to_possibility. Please verify grammaticality and classify modal categories.
5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3_alt_could,5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3,I get it.. but you know life really is too short.. i think you should try to reach out! Do it!:),could,I get it.. but you know life really is too short.. i think you *could* try to reach out! Do it!:),"",should,could,advice_to_ability_substitution,substitution,"[""deontic"", ""deontic"", ""deontic""]","[""obligation"", ""obligation"", ""obligation""]",unknown,unknown,yes,0,Modal substitution: 'should' → 'could'. Strategy: advice_to_ability_substitution. Please verify grammaticality and classify modal categories.
5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3_alt_may,5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3,I get it.. but you know life really is too short.. i think you should try to reach out! Do it!:),may,I get it.. but you know life really is too short.. i think you *may* try to reach out! Do it!:),"",should,may,advice_to_permission,entailment,"[""deontic"", ""deontic"", ""deontic""]","[""obligation"", ""obligation"", ""obligation""]",unknown,unknown,yes,0,Modal substitution: 'should' → 'may'. Strategy: advice_to_permission. Please verify grammaticality and classify modal categories.
5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3_alt_might,5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3,I get it.. but you know life really is too short.. i think you should try to reach out! Do it!:),might,I get it.. but you know life really is too short.. i think you *might* try to reach out! Do it!:),"",should,might,advice_to_possibility,entailment,"[""deontic"", ""deontic"", ""deontic""]","[""obligation"", ""obligation"", ""obligation""]",unknown,unknown,partial,0,Modal substitution: 'should' → 'might'. Strategy: advice_to_possibility. Please verify grammaticality and classify modal categories.
5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3_alt_must,5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3,I get it.. but you know life really is too short.. i think you should try to reach out! Do it!:),must,I get it.. but you know life really is too short.. i think you *must* try to reach out! Do it!:),"",should,must,advice_to_necessity,entailment,"[""deontic"", ""deontic"", ""deontic""]","[""obligation"", ""obligation"", ""obligation""]",unknown,unknown,yes,0,Modal substitution: 'should' → 'must'. Strategy: advice_to_necessity. Please verify grammaticality and classify modal categories.
5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3_alt_shall,5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3,I get it.. but you know life really is too short.. i think you should try to reach out! Do it!:),shall,I get it.. but you know life really is too short.. i think you *shall* try to reach out! Do it!:),"",should,shall,advice_to_obligation_substitution,substitution,"[""deontic"", ""deontic"", ""deontic""]","[""obligation"", ""obligation"", ""obligation""]",unknown,unknown,yes,0,Modal substitution: 'should' → 'shall'. Strategy: advice_to_obligation_substitution. Please verify grammaticality and classify modal categories.
5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3_alt_will,5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3,I get it.. but you know life really is too short.. i think you should try to reach out! Do it!:),will,I get it.. but you know life really is too short.. i think you *will* try to reach out! Do it!:),"",should,will,advice_to_prediction_substitution,substitution,"[""deontic"", ""deontic"", ""deontic""]","[""obligation"", ""obligation"", ""obligation""]",unknown,unknown,yes,0,Modal substitution: 'should' → 'will'. Strategy: advice_to_prediction_substitution. Please verify grammaticality and classify modal categories.
5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3_alt_would,5aef6892a1572170f6f53f57c245a11365cd95547829c381050a08b656cd8df3,I get it.. but you know life really is too short.. i think you should try to reach out! Do it!:),would,I get it.. but you know life really is too short.. i think you *would* try to reach out! Do it!:),"",should,would,advice_to_conditional_substitution,substitution,"[""deontic"", ""deontic"", ""deontic""]","[""obligation"", ""obligation"", ""obligation""]",unknown,unknown,yes,0,Modal substitution: 'should' → 'would'. Strategy: advice_to_conditional_substitution. Please verify grammaticality and classify modal categories.
