"sentence,tense,aspect"
Jack had searched for the map,past perfect,perfect
Jack will search for the map,future simple,progressive
Jack searches for the map,present simple,progressive
Jack searched for the map,past simple,perfect
Russia is occupying Crimea,present progressive,progressive
Russia is annexing Crimea,present progressive,progressive
Russia was annexing Crimea,past progressive,progressive
Russia has annexed Crimea,present perfect,perfect
Russia had annexed Crimea,past perfect,perfect
Russia will annex Crimea,future simple,progressive
Russia annexes Crimea,present simple,progressive
Russia annexed Crimea,past simple,perfect
Russia was occupying Crimea,past progressive,progressive
Russia has occupied Crimea,present perfect,perfect
Russia had occupied Crimea,past perfect,perfect
Russia will occupy Crimea,future simple,progressive
Russia occupies Crimea,present simple,progressive
Russia occupied Crimea,past simple,perfect
Clyde is killing Keith,present progressive,progressive
Clyde is injuring Keith,present progressive,progressive
Clyde was injuring Keith,past progressive,progressive
Clyde has injured Keith,present perfect,perfect
Clyde had injured Keith,past perfect,perfect
Clyde will injure Keith,future simple,progressive
Clyde injures Keith,present simple,progressive
Clyde injured Keith,past simple,perfect
Clyde was killing Keith,past progressive,progressive
Clyde has killed Keith,present perfect,perfect
Clyde had killed Keith,past perfect,perfect
Clyde will kill Keith,future simple,progressive
Clyde kills Keith,present simple,progressive
Clyde killed Keith,past simple,perfect
Matt is writing the novel,present progressive,progressive
Matt is publishing the novel,present progressive,progressive
Matt was publishing the novel,past progressive,progressive
Matt has published the novel,present perfect,perfect
Matt had published the novel,past perfect,perfect
Matt will publish the novel,future simple,progressive
Matt publishes the novel,present simple,progressive
Matt published the novel,past simple,perfect
Matt was writing the novel,past progressive,progressive
Matt has written the novel,present perfect,perfect
Matt had written the novel,past perfect,perfect
Matt will write the novel,future simple,progressive
Matt writes the novel,present simple,progressive
Matt wrote the novel,past simple,perfect
Italy is attacking Spain,present progressive,progressive
Italy is occupying Spain,present progressive,progressive
Italy was occupying Spain,past progressive,progressive
Italy has occupied Spain,present perfect,perfect
Italy had occupied Spain,past perfect,perfect
Italy will occupy Spain,future simple,progressive
Italy occupies Spain,present simple,progressive
Italy occupied Spain,past simple,perfect
Italy was attacking Spain,past progressive,progressive
Italy has attacked Spain,present perfect,perfect
Italy had attacked Spain,past perfect,perfect
Italy will attack Spain,future simple,progressive
Italy attacks Spain,present simple,progressive
Italy attacked Spain,past simple,perfect
Norway is occupying Sweden,present progressive,progressive
Norway is bombing Sweden,present progressive,progressive
Norway was bombing Sweden,past progressive,progressive
Norway has bombed Sweden,present perfect,perfect
Norway had bombed Sweden,past perfect,perfect
Norway will bomb Sweden,future simple,progressive
Norway bombs Sweden,present simple,progressive
Norway bombed Sweden,past simple,perfect
Norway was occupying Sweden,past progressive,progressive
Norway has occupied Sweden,present perfect,perfect
Norway had occupied Sweden,past perfect,perfect
Norway will occupy Sweden,future simple,progressive
Norway occupies Sweden,present simple,progressive
Norway occupied Sweden,past simple,perfect
Mary is travelling to Borneo,present progressive,progressive
Mary is booking the ticket to Borneo,present progressive,progressive
Mary was booking the ticket to Borneo,past progressive,progressive
Mary has booked the ticket to Borneo,present perfect,perfect
Mary had booked the ticket to Borneo,past perfect,perfect
Mary will book the ticket to Borneo,future simple,progressive
Mary books the ticket to Borneo,present simple,progressive
Mary booked the ticket to Borneo,past simple,perfect
Mary was travelling to Borneo,past progressive,progressive
Mary has travelled to Borneo,present perfect,perfect
Mary had travelled to Borneo,past perfect,perfect
Mary will travel to Borneo,future simple,progressive
Mary travels to Borneo,present simple,progressive
Mary travelled to Borneo,past simple,perfect
Sheila is graduating from university,present progressive,progressive
Sheila is studying at university,present progressive,progressive
Sheila was studying at university,past progressive,progressive
Sheila has studied at university,present perfect,perfect
Sheila had studied at university,past perfect,perfect
Sheila will study at university,future simple,progressive
Sheila studies at university,present simple,progressive
Sheila studied at university,past simple,perfect
Sheila was graduating from university,past progressive,progressive
Sheila has graduated from university,present perfect,perfect
Sheila had graduated from university,past perfect,perfect
Sheila will graduate from university,future simple,progressive
Sheila graduates from university,present simple,progressive
Sheila graduated from university,past simple,perfect
Boeing is distributing the airplane,present progressive,progressive
Boeing is manufacturing the airplane,present progressive,progressive
Boeing was manufacturing the airplane,past progressive,progressive
Boeing has manufactured the airplane,present perfect,perfect
Boeing had manufactured the airplane,past perfect,perfect
Boeing will manufacture the airplane,future simple,progressive
Boeing manufactures the airplane,present simple,progressive
Boeing manufactured the airplane,past simple,perfect
Boeing was distributing the airplane,past progressive,progressive
Boeing has distributed the airplane,present perfect,perfect
Boeing had distributed the airplane,past perfect,perfect
Boeing will distribute the airplane,future simple,progressive
Boeing distributes the airplane,present simple,progressive
Boeing distributed the airplane,past simple,perfect
Theresa has owned the painting,present perfect,perfect
Theresa is stealing the painting,present progressive,progressive
Theresa was stealing the painting,past progressive,progressive
Theresa has stolen the painting,present perfect,perfect
Theresa had stolen the painting,past perfect,perfect
Theresa will steal the painting,future simple,progressive
Theresa steals the painting,present simple,progressive
Theresa stole the painting,past simple,perfect
Theresa had owned the painting,past perfect,perfect
Theresa will own the painting,future simple,progressive
Theresa owns the painting,present simple,progressive
Theresa owned the painting,past simple,perfect
Denmark is invading Finland,present progressive,progressive
Denmark is attacking Finland,present progressive,progressive
Denmark was attacking Finland,past progressive,progressive
Denmark has attacked Finland,present perfect,perfect
Denmark had attacked Finland,past perfect,perfect
Denmark will attack Finland,future simple,progressive
Denmark attacks Finland,present simple,progressive
Denmark attacked Finland,past simple,perfect
Denmark was invading Finland,past progressive,progressive
Denmark has invaded Finland,present perfect,perfect
Denmark had invaded Finland,past perfect,perfect
Denmark will invade Finland,future simple,progressive
Denmark invades Finland,present simple,progressive
Denmark invaded Finland,past simple,perfect
William is acquiring the desk,present progressive,progressive
William has had the desk,present perfect,perfect
William had had the desk,past perfect,perfect
William will have the desk,future simple,progressive
William has the desk,present simple,progressive
William had the desk,past simple,perfect
William was acquiring the desk,past progressive,progressive
William has acquired the desk,present perfect,perfect
William had acquired the desk,past perfect,perfect
William will acquire the desk,future simple,progressive
William acquires the desk,present simple,progressive
William acquired the desk,past simple,perfect
Karen is deciding on the issue,present progressive,progressive
Karen is negotiating the issue,present progressive,progressive
Karen was negotiating the issue,past progressive,progressive
Karen has negotiated the issue,present perfect,perfect
Karen had negotiated the issue,past perfect,perfect
Karen will negotiate the issue,future simple,progressive
Karen negotiates the issue,present simple,progressive
Karen negotiated the issue,past simple,perfect
Karen was deciding on the issue,past progressive,progressive
Karen has decided on the issue,present perfect,perfect
Karen had decided on the issue,past perfect,perfect
Karen will decide on the issue,future simple,progressive
Karen decides on the issue,present simple,progressive
Karen decided on the issue,past simple,perfect
Mike is choosing the computer,present progressive,progressive
Mike is buying the computer,present progressive,progressive
Mike was buying the computer,past progressive,progressive
Mike has bought the computer,present perfect,perfect
Mike had bought the computer,past perfect,perfect
Mike will buy the computer,future simple,progressive
Mike buys the computer,present simple,progressive
Mike bought the computer,past simple,perfect
Mike was choosing the computer,past progressive,progressive
Mike has chosen the computer,present perfect,perfect
Mike had chosen the computer,past perfect,perfect
Mike will choose the computer,future simple,progressive
Mike chooses the computer,present simple,progressive
Mike chose the computer,past simple,perfect
Lee is graduating from college,present progressive,progressive
Lee is enrolling in college,present progressive,progressive
Lee was enrolling in college,past progressive,progressive
Lee has enrolled in college,present perfect,perfect
Lee had enrolled in college,past perfect,perfect
Lee will enroll in college,future simple,progressive
Lee enrols in college,present simple,progressive
Lee enrolled in college,past simple,perfect
Lee was graduating from college,past progressive,progressive
Lee has graduated from college,present perfect,perfect
Lee had graduated from college,past perfect,perfect
Lee will graduate from college,future simple,progressive
Lee graduates from college,present simple,progressive
Lee graduated from college,past simple,perfect
Charles is leaving,present progressive,progressive
Charles is packing,present progressive,progressive
Charles was packing,past progressive,progressive
Charles has packed,present perfect,perfect
Charles had packed,past perfect,perfect
Charles will pack,future simple,progressive
Charles packs,present simple,progressive
Charles packed,past simple,perfect
Charles was leaving,past progressive,progressive
Charles has left,present perfect,perfect
Charles had left,past perfect,perfect
Charles will leave,future simple,progressive
Charles leaves,present simple,progressive
Charles left,past simple,perfect
Liverpool is competing against Arsenal,present progressive,progressive
Liverpool is challenging Arsenal,present progressive,progressive
Liverpool was challenging Arsenal,past progressive,progressive
Liverpool has challenged Arsenal,present perfect,perfect
Liverpool had challenged Arsenal,past perfect,perfect
Liverpool will challenge Arsenal,future simple,progressive
Liverpool challenges Arsenal,present simple,progressive
Liverpool challenged Arsenal,past simple,perfect
Liverpool was competing against Arsenal,past progressive,progressive
Liverpool has competed against Arsenal,present perfect,perfect
Liverpool had competed against Arsenal,past perfect,perfect
Liverpool will compete against Arsenal,future simple,progressive
Liverpool competes against Arsenal,present simple,progressive
Liverpool competed against Arsenal,past simple,perfect
Airbus is manufacturing the helicopter,present progressive,progressive
Airbus is selling the helicopter,present progressive,progressive
Airbus was selling the helicopter,past progressive,progressive
Airbus has sold the helicopter,present perfect,perfect
Airbus had sold the helicopter,past perfect,perfect
Airbus will sell the helicopter,future simple,progressive
Airbus sells the helicopter,present simple,progressive
Airbus sold the helicopter,past simple,perfect
Airbus was manufacturing the helicopter,past progressive,progressive
Airbus has manufactured the helicopter,present perfect,perfect
Airbus had manufactured the helicopter,past perfect,perfect
Airbus will manufacture the helicopter,future simple,progressive
Airbus manufactures the helicopter,present simple,progressive
Airbus manufactured the helicopter,past simple,perfect
Phil is collecting the sofa,present progressive,progressive
Phil has owned the sofa,present perfect,perfect
Phil had owned the sofa,past perfect,perfect
Phil will own the sofa,future simple,progressive
Phil owns the sofa,present simple,progressive
Phil owned the sofa,past simple,perfect
Phil was collecting the sofa,past progressive,progressive
Phil has collected the sofa,present perfect,perfect
Phil had collected the sofa,past perfect,perfect
Phil will collect the sofa,future simple,progressive
Phil collects the sofa,present simple,progressive
Phil collected the sofa,past simple,perfect
Barry is purchasing the bicycle,present progressive,progressive
Barry is choosing the bicycle,present progressive,progressive
Barry was choosing the bicycle,past progressive,progressive
Barry has chosen the bicycle,present perfect,perfect
Barry had chosen the bicycle,past perfect,perfect
Barry will choose the bicycle,future simple,progressive
Barry chooses the bicycle,present simple,progressive
Barry chose the bicycle,past simple,perfect
Barry was purchasing the bicycle,past progressive,progressive
Barry has purchased the bicycle,present perfect,perfect
Barry had purchased the bicycle,past perfect,perfect
Barry will purchase the bicycle,future simple,progressive
Barry purchases the bicycle,present simple,progressive
Barry purchased the bicycle,past simple,perfect
Nick is visiting London,present progressive,progressive
Nick is leaving London,present progressive,progressive
Nick was leaving London,past progressive,progressive
Nick has left London,present perfect,perfect
Nick had left London,past perfect,perfect
Nick will leave London,future simple,progressive
Nick leaves London,present simple,progressive
Nick left London,past simple,perfect
Nick was visiting London,past progressive,progressive
Nick has visited London,present perfect,perfect
Nick had visited London,past perfect,perfect
Nick will visit London,future simple,progressive
Nick visits London,present simple,progressive
Nick visited London,past simple,perfect
Amazon is shipping the order,present progressive,progressive
Amazon is dispatching the order,present progressive,progressive
Amazon was dispatching the order,past progressive,progressive
Amazon has dispatched the order,present perfect,perfect
Amazon had dispatched the order,past perfect,perfect
Amazon will dispatch the order,future simple,progressive
Amazon dispatches the order,present simple,progressive
Amazon dispatched the order,past simple,perfect
Amazon was shipping the order,past progressive,progressive
Amazon has shipped the order,present perfect,perfect
Amazon had shipped the order,past perfect,perfect
Amazon will ship the order,future simple,progressive
Amazon ships the order,present simple,progressive
Amazon shipped the order,past simple,perfect
Amazon is delivering the parcel,present progressive,progressive
Amazon was delivering the parcel,past progressive,progressive
Amazon has delivered the parcel,present perfect,perfect
Amazon had delivered the parcel,past perfect,perfect
Amazon will deliver the parcel,future simple,progressive
Amazon delivers the parcel,present simple,progressive
Amazon delivered the parcel,past simple,perfect
Jeremy has owned the certificate,present perfect,perfect
Jeremy is obtaining the certificate,present progressive,progressive
Jeremy was obtaining the certificate,past progressive,progressive
Jeremy has obtained the certificate,present perfect,perfect
Jeremy had obtained the certificate,past perfect,perfect
Jeremy will obtain the certificate,future simple,progressive
Jeremy obtains the certificate,present simple,progressive
Jeremy obtained the certificate,past simple,perfect
Jeremy had owned the certificate,past perfect,perfect
Jeremy will own the certificate,future simple,progressive
Jeremy owns the certificate,present simple,progressive
Jeremy owned the certificate,past simple,perfect
John is purchasing the truck,present progressive,progressive
John has had the truck,present perfect,perfect
John had had the truck,past perfect,perfect
John will have the truck,future simple,progressive
John has the truck,present simple,progressive
John had the truck,past simple,perfect
John was purchasing the truck,past progressive,progressive
John has purchased the truck,present perfect,perfect
John had purchased the truck,past perfect,perfect
John will purchase the truck,future simple,progressive
John purchases the truck,present simple,progressive
John purchased the truck,past simple,perfect
Kim is obtaining the degree,present progressive,progressive
Kim has had the degree,present perfect,perfect
Kim had had the degree,past perfect,perfect
Kim will have the degree,future simple,progressive
Kim has the degree,present simple,progressive
Kim had the degree,past simple,perfect
Kim was obtaining the degree,past progressive,progressive
Kim has obtained the degree,present perfect,perfect
Kim had obtained the degree,past perfect,perfect
Kim will obtain the degree,future simple,progressive
Kim obtains the degree,present simple,progressive
Kim obtained the degree,past simple,perfect
Steve is proposing to Elizabeth,present progressive,progressive
Steve is marrying Elizabeth,present progressive,progressive
Steve was marrying Elizabeth,past progressive,progressive
Steve has married Elizabeth,present perfect,perfect
Steve had married Elizabeth,past perfect,perfect
Steve will marry Elizabeth,future simple,progressive
Steve marries Elizabeth,present simple,progressive
Steve married Elizabeth,past simple,perfect
Steve was proposing to Elizabeth,past progressive,progressive
Steve has proposed to Elizabeth,present perfect,perfect
Steve had proposed to Elizabeth,past perfect,perfect
Steve will propose to Elizabeth,future simple,progressive
Steve proposes to Elizabeth,present simple,progressive
Steve proposed to Elizabeth,past simple,perfect
Airbus is shipping the airplane,present progressive,progressive
Airbus is manufacturing the airplane,present progressive,progressive
Airbus was manufacturing the airplane,past progressive,progressive
Airbus has manufactured the airplane,present perfect,perfect
Airbus had manufactured the airplane,past perfect,perfect
Airbus will manufacture the airplane,future simple,progressive
Airbus manufactures the airplane,present simple,progressive
Airbus manufactured the airplane,past simple,perfect
Airbus was shipping the airplane,past progressive,progressive
Airbus has shipped the airplane,present perfect,perfect
Airbus had shipped the airplane,past perfect,perfect
Airbus will ship the airplane,future simple,progressive
Airbus ships the airplane,present simple,progressive
Airbus shipped the airplane,past simple,perfect
Amazon is bundling the order,present progressive,progressive
Amazon is distributing the order,present progressive,progressive
Amazon was distributing the order,past progressive,progressive
Amazon has distributed the order,present perfect,perfect
Amazon had distributed the order,past perfect,perfect
Amazon will distribute the order,future simple,progressive
Amazon distributes the order,present simple,progressive
Amazon distributed the order,past simple,perfect
Amazon was bundling the order,past progressive,progressive
Amazon has bundled the order,present perfect,perfect
Amazon had bundled the order,past perfect,perfect
Amazon will bundle the order,future simple,progressive
Amazon bundles the order,present simple,progressive
Amazon bundled the order,past simple,perfect
Greece is invading Egypt,present progressive,progressive
Greece is occupying Egypt,present progressive,progressive
Greece was occupying Egypt,past progressive,progressive
Greece has occupied Egypt,present perfect,perfect
Greece had occupied Egypt,past perfect,perfect
Greece will occupy Egypt,future simple,progressive
Greece occupies Egypt,present simple,progressive
Greece occupied Egypt,past simple,perfect
Greece was invading Egypt,past progressive,progressive
Greece has invaded Egypt,present perfect,perfect
Greece had invaded Egypt,past perfect,perfect
Greece will invade Egypt,future simple,progressive
Greece invades Egypt,present simple,progressive
Greece invaded Egypt,past simple,perfect
Ed has had the painting,present perfect,perfect
Ed is stealing the painting,present progressive,progressive
Ed was stealing the painting,past progressive,progressive
Ed has stolen the painting,present perfect,perfect
Ed had stolen the painting,past perfect,perfect
Ed will steal the painting,future simple,progressive
Ed steals the painting,present simple,progressive
Ed stole the painting,past simple,perfect
Ed had had the painting,past perfect,perfect
Ed will have the painting,future simple,progressive
Ed has the painting,present simple,progressive
Ed had the painting,past simple,perfect
Liverpool is losing against Arsenal,present progressive,progressive
Liverpool was losing against Arsenal,past progressive,progressive
Liverpool has lost against Arsenal,present perfect,perfect
Liverpool had lost against Arsenal,past perfect,perfect
Liverpool will lose against Arsenal,future simple,progressive
Liverpool loses against Arsenal,present simple,progressive
Liverpool lost against Arsenal,past simple,perfect
Poland is controlling Warsaw,present progressive,progressive
Poland is conquering Warsaw,present progressive,progressive
Poland was conquering Warsaw,past progressive,progressive
Poland has conquered Warsaw,present perfect,perfect
Poland had conquered Warsaw,past perfect,perfect
Poland will conquer Warsaw,future simple,progressive
Poland conquers Warsaw,present simple,progressive
Poland conquered Warsaw,past simple,perfect
Poland was controlling Warsaw,past progressive,progressive
Poland has controlled Warsaw,present perfect,perfect
Poland had controlled Warsaw,past perfect,perfect
Poland will control Warsaw,future simple,progressive
Poland controls Warsaw,present simple,progressive
Poland controlled Warsaw,past simple,perfect
Peru is invading Bolivia,present progressive,progressive
Peru is conquering Bolivia,present progressive,progressive
Peru was conquering Bolivia,past progressive,progressive
Peru has conquered Bolivia,present perfect,perfect
Peru had conquered Bolivia,past perfect,perfect
Peru will conquer Bolivia,future simple,progressive
Peru conquers Bolivia,present simple,progressive
Peru conquered Bolivia,past simple,perfect
Peru was invading Bolivia,past progressive,progressive
Peru has invaded Bolivia,present perfect,perfect
Peru had invaded Bolivia,past perfect,perfect
Peru will invade Bolivia,future simple,progressive
Peru invades Bolivia,present simple,progressive
Peru invaded Bolivia,past simple,perfect
Airbus is producing the airplane,present progressive,progressive
Airbus is supplying the airplane,present progressive,progressive
Airbus was supplying the airplane,past progressive,progressive
Airbus has supplied the airplane,present perfect,perfect
Airbus had supplied the airplane,past perfect,perfect
Airbus will supply the airplane,future simple,progressive
Airbus supplies the airplane,present simple,progressive
Airbus supplied the airplane,past simple,perfect
Airbus was producing the airplane,past progressive,progressive
Airbus has produced the airplane,present perfect,perfect
Airbus had produced the airplane,past perfect,perfect
Airbus will produce the airplane,future simple,progressive
Airbus produces the airplane,present simple,progressive
Airbus produced the airplane,past simple,perfect
Paul is buying groceries,present progressive,progressive
Paul is paying for groceries,present progressive,progressive
Paul was paying for groceries,past progressive,progressive
Paul has paid for groceries,present perfect,perfect
Paul had paid for groceries,past perfect,perfect
Paul will pay for groceries,future simple,progressive
Paul pays for groceries,present simple,progressive
Paul paid for groceries,past simple,perfect
Paul was buying groceries,past progressive,progressive
Paul has bought groceries,present perfect,perfect
Paul had bought groceries,past perfect,perfect
Paul will buy groceries,future simple,progressive
Paul buys groceries,present simple,progressive
Paul bought groceries,past simple,perfect
Boeing is developing the helicopter,present progressive,progressive
Boeing is designing the helicopter,present progressive,progressive
Boeing was designing the helicopter,past progressive,progressive
Boeing has designed the helicopter,present perfect,perfect
Boeing had designed the helicopter,past perfect,perfect
Boeing will design the helicopter,future simple,progressive
Boeing designs the helicopter,present simple,progressive
Boeing designed the helicopter,past simple,perfect
Boeing was developing the helicopter,past progressive,progressive
Boeing has developed the helicopter,present perfect,perfect
Boeing had developed the helicopter,past perfect,perfect
Boeing will develop the helicopter,future simple,progressive
Boeing develops the helicopter,present simple,progressive
Boeing developed the helicopter,past simple,perfect
Anne is inventing the machine,present progressive,progressive
Anne is developing the machine,present progressive,progressive
Anne was developing the machine,past progressive,progressive
Anne has developed the machine,present perfect,perfect
Anne had developed the machine,past perfect,perfect
Anne will develop the machine,future simple,progressive
Anne develops the machine,present simple,progressive
Anne developed the machine,past simple,perfect
Anne was inventing the machine,past progressive,progressive
Anne has invented the machine,present perfect,perfect
Anne had invented the machine,past perfect,perfect
Anne will invent the machine,future simple,progressive
Anne invents the machine,present simple,progressive
Anne invented the machine,past simple,perfect
Jack will take the apple,future simple,progressive
Jack is buying the apple,present progressive,progressive
Jack was buying the apple,past progressive,progressive
Jack has bought the apple,present perfect,perfect
Jack had bought the apple,past perfect,perfect
Jack will buy the apple,future simple,progressive
Jack buys the apple,present simple,progressive
Jack bought the apple,past simple,perfect
Jack takes the apple,present simple,progressive
Jack took the apple,past simple,perfect
John is visiting London,present progressive,progressive
John is arriving in London,present progressive,progressive
John was arriving in London,past progressive,progressive
John has arrived in London,present perfect,perfect
John had arrived in London,past perfect,perfect
John will arrive in London,future simple,progressive
John arrives in London,present simple,progressive
John arrived in London,past simple,perfect
John was visiting London,past progressive,progressive
John has visited London,present perfect,perfect
John had visited London,past perfect,perfect
John will visit London,future simple,progressive
John visits London,present simple,progressive
John visited London,past simple,perfect
