"sentence,tense,aspect"
Amazon will bundle the parcel,future simple,progressive
Amazon is shipping the parcel,present progressive,progressive
Amazon bundles the parcel,present simple,progressive
Amazon is shipping the parcel,present progressive,progressive
Amazon bundled the parcel,past simple,perfect
Amazon was shipping the parcel,past progressive,progressive
Amazon is bundling the parcel,present progressive,progressive
Amazon was shipping the parcel,past progressive,progressive
Amazon was bundling the parcel,past progressive,progressive
Amazon was shipping the parcel,past progressive,progressive
Amazon has bundled the parcel,present perfect,perfect
Amazon was shipping the parcel,past progressive,progressive
Amazon had bundled the parcel,past perfect,perfect
Amazon was shipping the parcel,past progressive,progressive
Amazon will bundle the parcel,future simple,progressive
Amazon was shipping the parcel,past progressive,progressive
Amazon bundles the parcel,present simple,progressive
Amazon was shipping the parcel,past progressive,progressive
Amazon bundled the parcel,past simple,perfect
Amazon has shipped the parcel,present perfect,perfect
Amazon is bundling the parcel,present progressive,progressive
Amazon has shipped the parcel,present perfect,perfect
Amazon was bundling the parcel,past progressive,progressive
Amazon has shipped the parcel,present perfect,perfect
Amazon has bundled the parcel,present perfect,perfect
Amazon has shipped the parcel,present perfect,perfect
Amazon had bundled the parcel,past perfect,perfect
Amazon has shipped the parcel,present perfect,perfect
Amazon will bundle the parcel,future simple,progressive
Amazon has shipped the parcel,present perfect,perfect
Amazon bundles the parcel,present simple,progressive
Amazon has shipped the parcel,present perfect,perfect
Amazon bundled the parcel,past simple,perfect
Amazon had shipped the parcel,past perfect,perfect
Amazon is bundling the parcel,present progressive,progressive
Amazon had shipped the parcel,past perfect,perfect
Amazon was bundling the parcel,past progressive,progressive
Amazon had shipped the parcel,past perfect,perfect
Amazon has bundled the parcel,present perfect,perfect
Amazon had shipped the parcel,past perfect,perfect
Amazon had bundled the parcel,past perfect,perfect
Amazon had shipped the parcel,past perfect,perfect
Amazon will bundle the parcel,future simple,progressive
Amazon had shipped the parcel,past perfect,perfect
Amazon bundles the parcel,present simple,progressive
Amazon had shipped the parcel,past perfect,perfect
Amazon bundled the parcel,past simple,perfect
Amazon will ship the parcel,future simple,progressive
Amazon is bundling the parcel,present progressive,progressive
Amazon will ship the parcel,future simple,progressive
Amazon was bundling the parcel,past progressive,progressive
Amazon will ship the parcel,future simple,progressive
Amazon has bundled the parcel,present perfect,perfect
Amazon will ship the parcel,future simple,progressive
Amazon had bundled the parcel,past perfect,perfect
Amazon will ship the parcel,future simple,progressive
Amazon will bundle the parcel,future simple,progressive
Amazon will ship the parcel,future simple,progressive
Amazon bundles the parcel,present simple,progressive
Amazon will ship the parcel,future simple,progressive
Amazon bundled the parcel,past simple,perfect
Amazon ships the parcel,present simple,progressive
Amazon is bundling the parcel,present progressive,progressive
Amazon ships the parcel,present simple,progressive
Amazon was bundling the parcel,past progressive,progressive
Amazon ships the parcel,present simple,progressive
Amazon has bundled the parcel,present perfect,perfect
Amazon ships the parcel,present simple,progressive
Amazon had bundled the parcel,past perfect,perfect
Amazon ships the parcel,present simple,progressive
Amazon will bundle the parcel,future simple,progressive
Amazon ships the parcel,present simple,progressive
Amazon bundles the parcel,present simple,progressive
Amazon ships the parcel,present simple,progressive
Amazon bundled the parcel,past simple,perfect
Amazon shipped the parcel,past simple,perfect
Amazon is bundling the parcel,present progressive,progressive
Amazon shipped the parcel,past simple,perfect
Amazon was bundling the parcel,past progressive,progressive
Amazon shipped the parcel,past simple,perfect
Amazon has bundled the parcel,present perfect,perfect
Amazon shipped the parcel,past simple,perfect
Amazon had bundled the parcel,past perfect,perfect
Amazon shipped the parcel,past simple,perfect
Amazon will bundle the parcel,future simple,progressive
Amazon shipped the parcel,past simple,perfect
Amazon bundles the parcel,present simple,progressive
Amazon shipped the parcel,past simple,perfect
Amazon bundled the parcel,past simple,perfect
Amazon is bundling the parcel,present progressive,progressive
Amazon is shipping the parcel,present progressive,progressive
Amazon is bundling the parcel,present progressive,progressive
Amazon was shipping the parcel,past progressive,progressive
Amazon is bundling the parcel,present progressive,progressive
Amazon has shipped the parcel,present perfect,perfect
Amazon is bundling the parcel,present progressive,progressive
Amazon had shipped the parcel,past perfect,perfect
Amazon is bundling the parcel,present progressive,progressive
Amazon will ship the parcel,future simple,progressive
Amazon is bundling the parcel,present progressive,progressive
Amazon ships the parcel,present simple,progressive
Amazon is bundling the parcel,present progressive,progressive
Amazon shipped the parcel,past simple,perfect
Amazon was bundling the parcel,past progressive,progressive
Amazon is shipping the parcel,present progressive,progressive
Amazon was bundling the parcel,past progressive,progressive
Amazon was shipping the parcel,past progressive,progressive
Amazon was bundling the parcel,past progressive,progressive
Amazon has shipped the parcel,present perfect,perfect
Amazon was bundling the parcel,past progressive,progressive
Amazon had shipped the parcel,past perfect,perfect
Amazon was bundling the parcel,past progressive,progressive
Amazon will ship the parcel,future simple,progressive
Amazon was bundling the parcel,past progressive,progressive
Amazon ships the parcel,present simple,progressive
Amazon was bundling the parcel,past progressive,progressive
Amazon shipped the parcel,past simple,perfect
Amazon has bundled the parcel,present perfect,perfect
Amazon is shipping the parcel,present progressive,progressive
Amazon has bundled the parcel,present perfect,perfect
Amazon was shipping the parcel,past progressive,progressive
Amazon has bundled the parcel,present perfect,perfect
Amazon has shipped the parcel,present perfect,perfect
Amazon has bundled the parcel,present perfect,perfect
Amazon had shipped the parcel,past perfect,perfect
Amazon has bundled the parcel,present perfect,perfect
Amazon will ship the parcel,future simple,progressive
Amazon has bundled the parcel,present perfect,perfect
Amazon ships the parcel,present simple,progressive
Amazon has bundled the parcel,present perfect,perfect
Amazon shipped the parcel,past simple,perfect
Amazon had bundled the parcel,past perfect,perfect
Amazon is shipping the parcel,present progressive,progressive
Amazon had bundled the parcel,past perfect,perfect
Amazon was shipping the parcel,past progressive,progressive
Amazon had bundled the parcel,past perfect,perfect
Amazon has shipped the parcel,present perfect,perfect
Amazon had bundled the parcel,past perfect,perfect
Amazon had shipped the parcel,past perfect,perfect
Amazon had bundled the parcel,past perfect,perfect
Amazon will ship the parcel,future simple,progressive
Amazon had bundled the parcel,past perfect,perfect
Amazon ships the parcel,present simple,progressive
Amazon had bundled the parcel,past perfect,perfect
Amazon shipped the parcel,past simple,perfect
Amazon will bundle the parcel,future simple,progressive
Amazon is shipping the parcel,present progressive,progressive
Amazon will bundle the parcel,future simple,progressive
Amazon was shipping the parcel,past progressive,progressive
Amazon will bundle the parcel,future simple,progressive
Amazon has shipped the parcel,present perfect,perfect
Amazon will bundle the parcel,future simple,progressive
Amazon had shipped the parcel,past perfect,perfect
Amazon will bundle the parcel,future simple,progressive
Amazon will ship the parcel,future simple,progressive
Amazon will bundle the parcel,future simple,progressive
Amazon ships the parcel,present simple,progressive
Amazon will bundle the parcel,future simple,progressive
Amazon shipped the parcel,past simple,perfect
Amazon bundles the parcel,present simple,progressive
Amazon is shipping the parcel,present progressive,progressive
Amazon bundles the parcel,present simple,progressive
Amazon was shipping the parcel,past progressive,progressive
Amazon bundles the parcel,present simple,progressive
Amazon has shipped the parcel,present perfect,perfect
Amazon bundles the parcel,present simple,progressive
Amazon had shipped the parcel,past perfect,perfect
Amazon bundles the parcel,present simple,progressive
Amazon will ship the parcel,future simple,progressive
Amazon bundles the parcel,present simple,progressive
Amazon ships the parcel,present simple,progressive
Amazon bundles the parcel,present simple,progressive
Amazon shipped the parcel,past simple,perfect
Amazon bundled the parcel,past simple,perfect
Amazon is shipping the parcel,present progressive,progressive
Amazon bundled the parcel,past simple,perfect
Amazon was shipping the parcel,past progressive,progressive
Amazon bundled the parcel,past simple,perfect
Amazon has shipped the parcel,present perfect,perfect
Amazon bundled the parcel,past simple,perfect
Amazon had shipped the parcel,past perfect,perfect
Amazon bundled the parcel,past simple,perfect
Amazon will ship the parcel,future simple,progressive
Amazon bundled the parcel,past simple,perfect
Amazon ships the parcel,present simple,progressive
Amazon bundled the parcel,past simple,perfect
Amazon shipped the parcel,past simple,perfect
Austria is attacking Serbia,present progressive,progressive
Austria is bombing Serbia,present progressive,progressive
Austria is attacking Serbia,present progressive,progressive
Austria was bombing Serbia,past progressive,progressive
Austria is attacking Serbia,present progressive,progressive
Austria has bombed Serbia,present perfect,perfect
Austria is attacking Serbia,present progressive,progressive
Austria had bombed Serbia,past perfect,perfect
Austria is attacking Serbia,present progressive,progressive
Austria will bomb Serbia,future simple,progressive
Austria is attacking Serbia,present progressive,progressive
Austria bombs Serbia,present simple,progressive
Austria is attacking Serbia,present progressive,progressive
Austria bombed Serbia,past simple,perfect
Austria was attacking Serbia,past progressive,progressive
Austria is bombing Serbia,present progressive,progressive
Austria was attacking Serbia,past progressive,progressive
Austria was bombing Serbia,past progressive,progressive
Austria was attacking Serbia,past progressive,progressive
Austria has bombed Serbia,present perfect,perfect
Austria was attacking Serbia,past progressive,progressive
Austria had bombed Serbia,past perfect,perfect
Austria was attacking Serbia,past progressive,progressive
Austria will bomb Serbia,future simple,progressive
Austria was attacking Serbia,past progressive,progressive
Austria bombs Serbia,present simple,progressive
Austria was attacking Serbia,past progressive,progressive
Austria bombed Serbia,past simple,perfect
Austria has attacked Serbia,present perfect,perfect
Austria is bombing Serbia,present progressive,progressive
Austria has attacked Serbia,present perfect,perfect
Austria was bombing Serbia,past progressive,progressive
Austria has attacked Serbia,present perfect,perfect
Austria has bombed Serbia,present perfect,perfect
Austria has attacked Serbia,present perfect,perfect
Austria had bombed Serbia,past perfect,perfect
Austria has attacked Serbia,present perfect,perfect
Austria will bomb Serbia,future simple,progressive
Austria has attacked Serbia,present perfect,perfect
Austria bombs Serbia,present simple,progressive
Austria has attacked Serbia,present perfect,perfect
Austria bombed Serbia,past simple,perfect
Austria had attacked Serbia,past perfect,perfect
Austria is bombing Serbia,present progressive,progressive
Austria had attacked Serbia,past perfect,perfect
Austria was bombing Serbia,past progressive,progressive
Austria had attacked Serbia,past perfect,perfect
Austria has bombed Serbia,present perfect,perfect
Austria had attacked Serbia,past perfect,perfect
Austria had bombed Serbia,past perfect,perfect
Austria had attacked Serbia,past perfect,perfect
Austria will bomb Serbia,future simple,progressive
Austria had attacked Serbia,past perfect,perfect
Austria bombs Serbia,present simple,progressive
Austria had attacked Serbia,past perfect,perfect
Austria bombed Serbia,past simple,perfect
Austria will attack Serbia,future simple,progressive
Austria is bombing Serbia,present progressive,progressive
Austria will attack Serbia,future simple,progressive
Austria was bombing Serbia,past progressive,progressive
Austria will attack Serbia,future simple,progressive
Austria has bombed Serbia,present perfect,perfect
Austria will attack Serbia,future simple,progressive
Austria had bombed Serbia,past perfect,perfect
Austria will attack Serbia,future simple,progressive
Austria will bomb Serbia,future simple,progressive
Austria will attack Serbia,future simple,progressive
Austria bombs Serbia,present simple,progressive
Austria will attack Serbia,future simple,progressive
Austria bombed Serbia,past simple,perfect
Austria attacks Serbia,present simple,progressive
Austria is bombing Serbia,present progressive,progressive
Austria attacks Serbia,present simple,progressive
Austria was bombing Serbia,past progressive,progressive
Austria attacks Serbia,present simple,progressive
Austria has bombed Serbia,present perfect,perfect
Austria attacks Serbia,present simple,progressive
Austria had bombed Serbia,past perfect,perfect
Austria attacks Serbia,present simple,progressive
Austria will bomb Serbia,future simple,progressive
Austria attacks Serbia,present simple,progressive
Austria bombs Serbia,present simple,progressive
Austria attacks Serbia,present simple,progressive
Austria bombed Serbia,past simple,perfect
Austria attacked Serbia,past simple,perfect
Austria is bombing Serbia,present progressive,progressive
Austria attacked Serbia,past simple,perfect
Austria was bombing Serbia,past progressive,progressive
Austria attacked Serbia,past simple,perfect
Austria has bombed Serbia,present perfect,perfect
Austria attacked Serbia,past simple,perfect
Austria had bombed Serbia,past perfect,perfect
Austria attacked Serbia,past simple,perfect
Austria will bomb Serbia,future simple,progressive
Austria attacked Serbia,past simple,perfect
Austria bombs Serbia,present simple,progressive
Austria attacked Serbia,past simple,perfect
Austria bombed Serbia,past simple,perfect
Austria is bombing Serbia,present progressive,progressive
Austria is attacking Serbia,present progressive,progressive
Austria is bombing Serbia,present progressive,progressive
Austria was attacking Serbia,past progressive,progressive
Austria is bombing Serbia,present progressive,progressive
Austria has attacked Serbia,present perfect,perfect
Austria is bombing Serbia,present progressive,progressive
Austria had attacked Serbia,past perfect,perfect
Austria is bombing Serbia,present progressive,progressive
Austria will attack Serbia,future simple,progressive
Austria is bombing Serbia,present progressive,progressive
Austria attacks Serbia,present simple,progressive
Austria is bombing Serbia,present progressive,progressive
Austria attacked Serbia,past simple,perfect
Austria was bombing Serbia,past progressive,progressive
Austria is attacking Serbia,present progressive,progressive
Austria was bombing Serbia,past progressive,progressive
Austria was attacking Serbia,past progressive,progressive
Austria was bombing Serbia,past progressive,progressive
Austria has attacked Serbia,present perfect,perfect
Austria was bombing Serbia,past progressive,progressive
Austria had attacked Serbia,past perfect,perfect
Austria was bombing Serbia,past progressive,progressive
Austria will attack Serbia,future simple,progressive
Austria was bombing Serbia,past progressive,progressive
Austria attacks Serbia,present simple,progressive
Austria was bombing Serbia,past progressive,progressive
Austria attacked Serbia,past simple,perfect
Austria has bombed Serbia,present perfect,perfect
Austria is attacking Serbia,present progressive,progressive
Austria has bombed Serbia,present perfect,perfect
Austria was attacking Serbia,past progressive,progressive
Austria has bombed Serbia,present perfect,perfect
Austria has attacked Serbia,present perfect,perfect
Austria has bombed Serbia,present perfect,perfect
Austria had attacked Serbia,past perfect,perfect
Austria has bombed Serbia,present perfect,perfect
Austria will attack Serbia,future simple,progressive
Austria has bombed Serbia,present perfect,perfect
Austria attacks Serbia,present simple,progressive
Austria has bombed Serbia,present perfect,perfect
Austria attacked Serbia,past simple,perfect
Austria had bombed Serbia,past perfect,perfect
Austria is attacking Serbia,present progressive,progressive
Austria had bombed Serbia,past perfect,perfect
Austria was attacking Serbia,past progressive,progressive
Austria had bombed Serbia,past perfect,perfect
Austria has attacked Serbia,present perfect,perfect
Austria had bombed Serbia,past perfect,perfect
Austria had attacked Serbia,past perfect,perfect
Austria had bombed Serbia,past perfect,perfect
Austria will attack Serbia,future simple,progressive
Austria had bombed Serbia,past perfect,perfect
Austria attacks Serbia,present simple,progressive
Austria had bombed Serbia,past perfect,perfect
Austria attacked Serbia,past simple,perfect
Austria will bomb Serbia,future simple,progressive
Austria is attacking Serbia,present progressive,progressive
Austria will bomb Serbia,future simple,progressive
Austria was attacking Serbia,past progressive,progressive
Austria will bomb Serbia,future simple,progressive
Austria has attacked Serbia,present perfect,perfect
Austria will bomb Serbia,future simple,progressive
Austria had attacked Serbia,past perfect,perfect
Austria will bomb Serbia,future simple,progressive
Austria will attack Serbia,future simple,progressive
Austria will bomb Serbia,future simple,progressive
Austria attacks Serbia,present simple,progressive
Austria will bomb Serbia,future simple,progressive
Austria attacked Serbia,past simple,perfect
Austria bombs Serbia,present simple,progressive
Austria is attacking Serbia,present progressive,progressive
Austria bombs Serbia,present simple,progressive
Austria was attacking Serbia,past progressive,progressive
Austria bombs Serbia,present simple,progressive
Austria has attacked Serbia,present perfect,perfect
Austria bombs Serbia,present simple,progressive
Austria had attacked Serbia,past perfect,perfect
Austria bombs Serbia,present simple,progressive
Austria will attack Serbia,future simple,progressive
Austria bombs Serbia,present simple,progressive
Austria attacks Serbia,present simple,progressive
Austria bombs Serbia,present simple,progressive
Austria attacked Serbia,past simple,perfect
Austria bombed Serbia,past simple,perfect
Austria is attacking Serbia,present progressive,progressive
Austria bombed Serbia,past simple,perfect
Austria was attacking Serbia,past progressive,progressive
Austria bombed Serbia,past simple,perfect
Austria has attacked Serbia,present perfect,perfect
Austria bombed Serbia,past simple,perfect
Austria had attacked Serbia,past perfect,perfect
Austria bombed Serbia,past simple,perfect
Austria will attack Serbia,future simple,progressive
Austria bombed Serbia,past simple,perfect
Austria attacks Serbia,present simple,progressive
Austria bombed Serbia,past simple,perfect
Austria attacked Serbia,past simple,perfect
Google is hiring Thomas,present progressive,progressive
Google is interviewing Thomas,present progressive,progressive
Google is hiring Thomas,present progressive,progressive
Google was interviewing Thomas,past progressive,progressive
Google is hiring Thomas,present progressive,progressive
Google has interviewed Thomas,present perfect,perfect
Google is hiring Thomas,present progressive,progressive
Google had interviewed Thomas,past perfect,perfect
Google is hiring Thomas,present progressive,progressive
Google will interview Thomas,future simple,progressive
Google is hiring Thomas,present progressive,progressive
Google interviews Thomas,present simple,progressive
Google is hiring Thomas,present progressive,progressive
Google interviewed Thomas,past simple,perfect
Google was hiring Thomas,past progressive,progressive
Google is interviewing Thomas,present progressive,progressive
Google was hiring Thomas,past progressive,progressive
Google was interviewing Thomas,past progressive,progressive
Google was hiring Thomas,past progressive,progressive
Google has interviewed Thomas,present perfect,perfect
Google was hiring Thomas,past progressive,progressive
Google had interviewed Thomas,past perfect,perfect
Google was hiring Thomas,past progressive,progressive
Google will interview Thomas,future simple,progressive
Google was hiring Thomas,past progressive,progressive
Google interviews Thomas,present simple,progressive
Google was hiring Thomas,past progressive,progressive
Google interviewed Thomas,past simple,perfect
Google has hired Thomas,present perfect,perfect
Google is interviewing Thomas,present progressive,progressive
Google has hired Thomas,present perfect,perfect
Google was interviewing Thomas,past progressive,progressive
Google has hired Thomas,present perfect,perfect
Google has interviewed Thomas,present perfect,perfect
Google has hired Thomas,present perfect,perfect
Google had interviewed Thomas,past perfect,perfect
Google has hired Thomas,present perfect,perfect
Google will interview Thomas,future simple,progressive
Google has hired Thomas,present perfect,perfect
Google interviews Thomas,present simple,progressive
Google has hired Thomas,present perfect,perfect
Google interviewed Thomas,past simple,perfect
Google had hired Thomas,past perfect,perfect
Google is interviewing Thomas,present progressive,progressive
Google had hired Thomas,past perfect,perfect
Google was interviewing Thomas,past progressive,progressive
Google had hired Thomas,past perfect,perfect
Google has interviewed Thomas,present perfect,perfect
Google had hired Thomas,past perfect,perfect
Google had interviewed Thomas,past perfect,perfect
Google had hired Thomas,past perfect,perfect
Google will interview Thomas,future simple,progressive
Google had hired Thomas,past perfect,perfect
Google interviews Thomas,present simple,progressive
Google had hired Thomas,past perfect,perfect
Google interviewed Thomas,past simple,perfect
Google will hire Thomas,future simple,progressive
Google is interviewing Thomas,present progressive,progressive
Google will hire Thomas,future simple,progressive
Google was interviewing Thomas,past progressive,progressive
Google will hire Thomas,future simple,progressive
Google has interviewed Thomas,present perfect,perfect
Google will hire Thomas,future simple,progressive
Google had interviewed Thomas,past perfect,perfect
Google will hire Thomas,future simple,progressive
Google will interview Thomas,future simple,progressive
Google will hire Thomas,future simple,progressive
Google interviews Thomas,present simple,progressive
Google will hire Thomas,future simple,progressive
Google interviewed Thomas,past simple,perfect
Google hires Thomas,present simple,progressive
Google is interviewing Thomas,present progressive,progressive
Google hires Thomas,present simple,progressive
Google was interviewing Thomas,past progressive,progressive
Google hires Thomas,present simple,progressive
Google has interviewed Thomas,present perfect,perfect
Google hires Thomas,present simple,progressive
Google had interviewed Thomas,past perfect,perfect
Google hires Thomas,present simple,progressive
Google will interview Thomas,future simple,progressive
Google hires Thomas,present simple,progressive
Google interviews Thomas,present simple,progressive
Google hires Thomas,present simple,progressive
Google interviewed Thomas,past simple,perfect
Google hired Thomas,past simple,perfect
Google is interviewing Thomas,present progressive,progressive
Google hired Thomas,past simple,perfect
Google was interviewing Thomas,past progressive,progressive
Google hired Thomas,past simple,perfect
Google has interviewed Thomas,present perfect,perfect
Google hired Thomas,past simple,perfect
Google had interviewed Thomas,past perfect,perfect
Google hired Thomas,past simple,perfect
Google will interview Thomas,future simple,progressive
Google hired Thomas,past simple,perfect
Google interviews Thomas,present simple,progressive
Google hired Thomas,past simple,perfect
Google interviewed Thomas,past simple,perfect
Google is interviewing Thomas,present progressive,progressive
Google is hiring Thomas,present progressive,progressive
Google is interviewing Thomas,present progressive,progressive
Google was hiring Thomas,past progressive,progressive
Google is interviewing Thomas,present progressive,progressive
Google has hired Thomas,present perfect,perfect
Google is interviewing Thomas,present progressive,progressive
Google had hired Thomas,past perfect,perfect
Google is interviewing Thomas,present progressive,progressive
Google will hire Thomas,future simple,progressive
Google is interviewing Thomas,present progressive,progressive
Google hires Thomas,present simple,progressive
Google is interviewing Thomas,present progressive,progressive
Google hired Thomas,past simple,perfect
Google was interviewing Thomas,past progressive,progressive
Google is hiring Thomas,present progressive,progressive
Google was interviewing Thomas,past progressive,progressive
Google was hiring Thomas,past progressive,progressive
Google was interviewing Thomas,past progressive,progressive
Google has hired Thomas,present perfect,perfect
